Pclass,Age,SibSp,Parch,Fare,FamilySize,IsAlone,FarePerPerson,Cabin_Missing,Sex_male,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Deck_Unknown
3,22.0,1,0,7.25,2,0,3.625,1,True,False,True,False,False,False,False,False,False,False,False,False,True
1,38.0,1,0,71.2833,2,0,35.64165,0,False,False,False,True,False,False,True,False,False,False,False,False,False
3,26.0,0,0,7.925,1,1,7.925,1,False,True,False,False,False,False,False,False,False,False,False,False,True
1,35.0,1,0,53.1,2,0,26.55,0,False,False,False,True,False,False,True,False,False,False,False,False,False
3,35.0,0,0,8.05,1,1,8.05,1,True,False,True,False,False,False,False,False,False,False,False,False,True
3,28.0,0,0,8.4583,1,1,8.4583,1,True,False,True,False,False,False,False,False,False,False,False,False,True
1,54.0,0,0,51.8625,1,1,51.8625,0,True,False,True,False,False,False,False,False,True,False,False,False,False
3,2.0,3,1,21.075,5,0,4.215,1,True,False,False,False,False,False,False,False,False,False,False,False,True
3,27.0,0,2,11.1333,3,0,3.7111,1,False,False,False,True,False,False,False,False,False,False,False,False,True
2,14.0,1,0,30.0708,2,0,15.0354,1,False,False,False,True,False,False,False,False,False,False,False,False,True
3,4.0,1,1,16.7,3,0,5.566666666666666,0,False,True,False,False,False,False,False,False,False,False,True,False,False
1,58.0,0,0,26.55,1,1,26.55,0,False,True,False,False,False,False,True,False,False,False,False,False,False
3,20.0,0,0,8.05,1,1,8.05,1,True,False,True,False,False,False,False,False,False,False,False,False,True
3,39.0,1,5,31.275,7,0,4.4678571428571425,1,True,False,True,False,False,False,False,False,False,False,False,False,True
3,14.0,0,0,7.8542,1,1,7.8542,1,False,True,False,False,False,False,False,False,False,False,False,False,True
2,55.0,0,0,16.0,1,1,16.0,1,False,False,False,True,False,False,False,False,False,False,False,False,True
3,2.0,4,1,29.125,6,0,4.854166666666667,1,True,False,False,False,False,False,False,False,False,False,False,False,True
2,28.0,0,0,13.0,1,1,13.0,1,True,False,True,False,False,False,False,False,False,False,False,False,True
3,31.0,1,0,18.0,2,0,9.0,1,False,False,False,True,False,False,False,False,False,False,False,False,True
3,28.0,0,0,7.225,1,1,7.225,1,False,False,False,True,False,False,False,False,False,False,False,False,True
2,35.0,0,0,26.0,1,1,26.0,1,True,False,True,False,False,False,False,False,False,False,False,False,True
2,34.0,0,0,13.0,1,1,13.0,0,True,False,True,False,False,False,False,True,False,False,False,False,False
3,15.0,0,0,8.0292,1,1,8.0292,1,False,True,False,False,False,False,False,False,False,False,False,False,True
1,28.0,0,0,35.5,1,1,35.5,0,True,False,True,False,False,False,False,False,False,False,False,False,False
3,8.0,3,1,21.075,5,0,4.215,1,False,True,False,False,False,False,False,False,False,False,False,False,True
3,38.0,1,5,31.3875,7,0,4.483928571428572,1,False,False,False,True,False,False,False,False,False,False,False,False,True
3,28.0,0,0,7.225,1,1,7.225,1,True,False,True,False,False,False,False,False,False,False,False,False,True
1,19.0,3,2,263.0,6,0,43.833333333333336,0,True,False,True,False,False,False,True,False,False,False,False,False,False
3,28.0,0,0,7.8792,1,1,7.8792,1,False,True,False,False,False,False,False,False,False,False,False,False,True
3,28.0,0,0,7.8958,1,1,7.8958,1,True,False,True,False,False,False,False,False,False,False,False,False,True
1,40.0,0,0,27.7208,1,1,27.7208,1,True,False,False,False,True,False,False,False,False,False,False,False,True
1,28.0,1,0,146.5208,2,0,73.2604,0,False,False,False,True,False,True,False,False,False,False,False,False,False
3,28.0,0,0,7.75,1,1,7.75,1,False,True,False,False,False,False,False,False,False,False,False,False,True
2,66.0,0,0,10.5,1,1,10.5,1,True,False,True,False,False,False,False,False,False,False,False,False,True
1,28.0,1,0,82.1708,2,0,41.0854,1,True,False,True,False,False,False,False,False,False,False,False,False,True
1,42.0,1,0,52.0,2,0,26.0,1,True,False,True,False,False,False,False,False,False,False,False,False,True
3,28.0,0,0,7.2292,1,1,7.2292,1,True,False,True,False,False,False,False,False,False,False,False,False,True
3,21.0,0,0,8.05,1,1,8.05,1,True,False,True,False,False,False,False,False,False,False,False,False,True
3,18.0,2,0,18.0,3,0,6.0,1,False,True,False,False,False,False,False,False,False,False,False,False,True
3,14.0,1,0,11.2417,2,0,5.62085,1,False,True,False,False,False,False,False,False,False,False,False,False,True
3,40.0,1,0,9.475,2,0,4.7375,1,False,False,False,True,False,False,False,False,False,False,False,False,True
2,27.0,1,0,21.0,2,0,10.5,1,False,False,False,True,False,False,False,False,False,False,False,False,True
3,28.0,0,0,7.8958,1,1,7.8958,1,True,False,True,False,False,False,False,False,False,False,False,False,True
2,3.0,1,2,41.5792,4,0,10.3948,1,False,True,False,False,False,False,False,False,False,False,False,False,True
3,19.0,0,0,7.8792,1,1,7.8792,1,False,True,False,False,False,False,False,False,False,False,False,False,True
3,28.0,0,0,8.05,1,1,8.05,1,True,False,True,False,False,False,False,False,False,False,False,False,True
3,28.0,1,0,15.5,2,0,7.75,1,True,False,True,False,False,False,False,False,False,False,False,False,True
3,28.0,0,0,7.75,1,1,7.75,1,False,True,False,False,False,False,False,False,False,False,False,False,True
3,28.0,2,0,21.6792,3,0,7.226400000000001,1,True,False,True,False,False,False,False,False,False,False,False,False,True
3,18.0,1,0,17.8,2,0,8.9,1,False,False,False,True,False,False,False,False,False,False,False,False,True
3,7.0,4,1,39.6875,6,0,6.614583333333333,1,True,False,False,False,False,False,False,False,False,False,False,False,True
3,21.0,0,0,7.8,1,1,7.8,1,True,False,True,False,False,False,False,False,False,False,False,False,True
1,49.0,1,0,76.7292,2,0,38.3646,0,False,False,False,True,False,False,False,True,False,False,False,False,False
2,29.0,1,0,26.0,2,0,13.0,1,False,False,False,True,False,False,False,False,False,False,False,False,True
1,65.0,0,1,61.9792,2,0,30.9896,0,True,False,True,False,False,True,False,False,False,False,False,False,False
1,28.0,0,0,35.5,1,1,35.5,0,True,False,True,False,False,False,True,False,False,False,False,False,False
2,21.0,0,0,10.5,1,1,10.5,1,False,True,False,False,False,False,False,False,False,False,False,False,True
3,28.5,0,0,7.2292,1,1,7.2292,1,True,False,True,False,False,False,False,False,False,False,False,False,True
2,5.0,1,2,27.75,4,0,6.9375,1,False,True,False,False,False,False,False,False,False,False,False,False,True
3,11.0,5,2,46.9,8,0,5.8625,1,True,False,False,False,False,False,False,False,False,False,False,False,True
3,22.0,0,0,7.2292,1,1,7.2292,1,True,False,True,False,False,False,False,False,False,False,False,False,True
1,38.0,0,0,80.0,1,1,80.0,0,False,True,False,False,False,True,False,False,False,False,False,False,False
1,45.0,1,0,83.475,2,0,41.7375,0,True,False,True,False,False,False,True,False,False,False,False,False,False
3,4.0,3,2,27.9,6,0,4.6499999999999995,1,True,False,False,False,False,False,False,False,False,False,False,False,True
1,28.0,0,0,27.7208,1,1,27.7208,1,True,False,True,False,False,False,False,False,False,False,False,False,True
3,28.0,1,1,15.2458,3,0,5.081933333333333,1,True,False,False,False,False,False,False,False,False,False,False,False,True
2,29.0,0,0,10.5,1,1,10.5,0,False,False,False,True,False,False,False,False,False,True,False,False,False
